name;address;town;insee_code;postal_code;postal_code;type;longitude;latitude
"La croix de la mission";"La croix de la mission";LIFFRÉ;35152;;35340;"Aire de covoiturage";-1.49582366618066
"La Reposée";"Rue de Rennes";LIFFRÉ;35152;;35340;"Aire de covoiturage";-1.52641333319941
"Aire de covoiturage de Sainte Catherine";"213 Sainte-Catherine. 56460 Lizio";LIZIO;56112;56460;56460;"Aire de covoiturage";-2.4944
"Aire de covoiturage de Champ";"33 Rue du Géneral De Gaulle. 56390 Grand-Champ";LOCMARIA-GRAND-CHAMP;56115;56390;56390;"Aire de covoiturage";-2.848733
"Aire de covoiturage de Collec";"D767A. 56390 Locmaria-Grand-Champ";LOCMARIA-GRAND-CHAMP;56115;56390;56390;"Aire de covoiturage";-2.781111
"Parking Carrefour Market";"20 Les Maisons du Verger. 56500 Locminé";LOCMINE;56117;56500;56500;Supermarché;-2.828877
"Echangeur de Lohéac";"rue de chateaubriant pres du sade";LOHÉAC;35155;;35550;"Aire de covoiturage";-1.88101412766708
"Aire de covoiturage Kéranc'Hoat";"24 Rue de la Gare. 29470 Loperhet";LOPERHET;29140;29470;29470;"Aire de covoiturage";-4.307951837
"Aire de covoiturage Porhoet";"RD 700 - RD 778";LOUDÉAC;22136;;22600;"Aire de covoiturage";-2.735771957
"Aire de covoiturage La Fourchette";RD700-RN164-RD786;LOUDÉAC;22136;;22600;"Aire de covoiturage";-2.753325074
"Place de Bretagne";"Place de Bretagne";LOUVIGNÉ-DU-DÉSERT;35162;01400;35420;Parking;-1.125030626
"Place de La Mairie";"Place de la Mairie";LOUVIGNÉ-DU-DÉSERT;35162;01400;35420;Parking;-1.124522971
"Place du 8 mai 45";"Place du 8 mai 45";LOUVIGNÉ-DU-DÉSERT;35162;;35420;"Aire de covoiturage";-1.12147015171582
"Aire de covoiturage de Loyat";"D766. 56800 Loyat";LOYAT;56122;56800;56800;"Aire de covoiturage";-2.379918
"Echangeur 30 - ZA Saint-Eustache";"D3155 - La Bassetais";"MAEN ROCH";35257;;35460;"Aire de covoiturage";-1.31243028894358
"Parking Super U";"Parc d'Activités de la Chaussée. 56220 Malansac";MALANSAC;56123;56220;56220;Supermarché;-2.300409
"Echangeur Sud";"Avenue du Général de Gaulle";MARTIGNÉ-FERCHAUD;35167;;35640;"Aire de covoiturage";-1.32166233409256
Saint-Morand;"Echangeur de Saint-Morand";MARTIGNÉ-FERCHAUD;35167;;35640;"Aire de covoiturage";-1.27719355160516
"Aire de covoiturage Le Stade";RD13;MATIGNON;22143;;22550;"Aire de covoiturage";-2.296072962
Bellevue;Bellevue;MAURE-DE-BRETAGNE;35168;;35330;"Aire de covoiturage";-1.9911113350743
"Aire de covoiturage de Voie Verte";"La Grée Aga. 56430 Mauron";MAURON;56127;56430;56430;"Aire de covoiturage";-2.271058
Maxent;;MAXENT;35169;;35380;"Aire de covoiturage";-2.03042301192006
"Salle polyvalente";"Rue de Montreuil";MELESSE;35173;;35520;"Aire de covoiturage";-1.69770433916455
Cimetière;"Rue de Rennes";MELESSE;35173;;35520;"Aire de covoiturage";-1.69747500054249
"Aire de covoiturage Kerampaou (Kercorey)";"Aire de covoiturage de Kerampaou. Burleo. 29140 Melgven";MELGVEN;29146;29140;29140;"Aire de covoiturage";-3.800855592
"Parking de la Rue Rouviel";"6 Rue Rouviel";MELLE;35174;;35420;"Aire de covoiturage";-1.18793889504592
