name,address,gps_lat,gps_lng,town_name,type
"Aire de covoiturage Michelle Le Brun","Croisement route de Pontivy et rue Michelle Le Brun",48.19808245,-2.989523491,"Mur De Bretagne","Aire de covoiturage"
"Aire de covoiturage de Terre Océan","E60. 56190 Ambon",47.558568,-2.501261,Muzillac,"Aire de covoiturage"
"Pont Suspendu","Le Pont. Boulevard de Bretagne. 56130 Nivillac",47.525974,-2.303977,Nivillac,"Aire de covoiturage"
"Aire de covoiturage de Le Gohéléve","Rue Jean Perrin. 56920 Noyal-Pontivy",48.054378,-2.941609,"Noya- Pontivy","Aire de covoiturage"
"Rue Lavoisier","Rue Lavoisier",48.0390009762016,-1.68343790083127,Noyal-Châtillon-Sur-Seiche,"Aire de covoiturage"
"Espace Nominoë","Rue Julien Neveu",48.1110706956896,-1.52818191449501,Noyal-Sur-Vilaine,"Aire de covoiturage"
"Parking La Fouaye",Fouaye,48.15278333,-1.808701333,Pacé,Parking
Cimetière,"Boulevard du Duc Jean V",48.1481784986479,-1.7696086669414,Pacé,"Aire de covoiturage"
"Les Sorinais","Rond point des Sorinais",48.1353727221876,-1.77217967770879,Pacé,"Aire de covoiturage"
"Aire de covoiturage La Lande Blanche","Giratoire de la Lande Blanche RD786-RD7",48.76188831,-3.041335092,Paimpol,"Aire de covoiturage"
"Rue des Forges","Rue des Forges",48.0169593833885,-2.16960717226744,Paimpont,"Aire de covoiturage"
"Place des Jardins","34 Rue du Galerie de Gaulle. 56130 Péaule",47.579242,-2.361207,Peaule,"Aire de covoiturage"
"Le Fouteau","Echangeur D117 x D777",47.8163692467306,-1.91846850286215,Pipriac,"Aire de covoiturage"
"La Secouette","Echangeur D177 x D59",47.7817320725771,-1.92760078462441,Pipriac,"Aire de covoiturage"
"Aire de covoiturage de Pipriac","Le Fouteau",47.81636733,-1.918255,Pipriac,"Aire de covoiturage"
